Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
EPHA2	ENSG00000142627).GENE.M3.1	1	16125214	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0521182	0.0265704	0.0776661	6.38E-05	0.00628174	0.996015	57	EPHA2	0.310683099
DENND4C	ENSG00000137145).GENE.M1.001	9	19276174	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.232608	0.116929	0.348288	8.11E-05	0.00030023	0.9997	67	DENND4C	0.021494445
APOE	ENSG00000130203).GENE.M3.0001	19	44906624	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.452692	-0.683644	-0.22174	0.000122161	7.90E-05	0.999921	74	APOE	0.00034544
ZEB1	ENSG00000148516).GENE.M1.0001	10	31319234	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.555102	-0.842373	-0.267831	0.0001523	4.86E-05	0.999951	80	ZEB1	0.06635536
SCARB1	ENSG00000073060).GENE.M3.0001	12	124778466	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.204968	0.0827278	0.327207	0.00101476	0.000268627	0.999731	207	SCARB1	0.515332504
KMT2D	ENSG00000167548).GENE.M1.singleton	12	49021779	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.393826	-0.630348	-0.157303	0.00110059	7.17E-05	0.999928	214	KMT2D	0.34925232
SMARCA4	ENSG00000127616).GENE.M1.001	19	10984151	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.315802	-0.507863	-0.123741	0.00126977	0.000114258	0.999886	247	SMARCA4	0.132348155
PDS5B	ENSG00000083642).GENE.M3.singleton	13	32648772	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.196541	-0.321016	-0.0720649	0.00197025	0.000258903	0.999741	327	PDS5B	0.06564359
GMPPB	ENSG00000173540).GENE.M3.01	3	49721751	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.105122	-0.172107	-0.0381378	0.00209886	0.000895829	0.999103	337	GMPPB	0.215471914
OTX2	ENSG00000165588).GENE.M3.01	14	56801734	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.141038	-0.233399	-0.0486767	0.00276327	0.000470401	0.999529	426	OTX2	0.00077396
AP1G1	ENSG00000166747).GENE.M1.singleton	16	71733057	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.671961	0.23108	1.11284	0.00281507	2.07E-05	0.999979	432	AP1G1	0.090244181
SERPINA1	ENSG00000197249).GENE.M1.singleton	14	94378448	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.906894	0.301476	1.51231	0.00332524	1.09E-05	0.999989	498	SERPINA1	0.469128305
SNX19	ENSG00000120451).GENE.M3.01	11	130878421	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.052629	0.017121	0.088137	0.00367249	0.00319921	1.00213	533	SNX19	0.139857485
PRMT1	ENSG00000126457).GENE.M3.singleton	19	49677280	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.453236	-0.759331	-0.147141	0.00370645	4.50E-05	0.999955	537	PRMT1	0.143448743
FOSL1	ENSG00000175592).GENE.M3.0001	11	65892885	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.204307	0.0660781	0.342535	0.00376877	0.000210283	0.99979	544	FOSL1	0.021362153
EXOC2	ENSG00000112685).GENE.M1.0001	6	486670	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.21878	0.0692395	0.368321	0.00413787	0.000179895	0.99982	591	EXOC2	0.134009078
NR5A1	ENSG00000136931).GENE.M3.0001	9	124482757	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.24237	0.0764582	0.408282	0.00419404	0.000145861	0.999854	596	NR5A1	0.1277849
ZC3H11A	ENSG00000058673).GENE.M3.0001	1	203817070	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.195083	0.0603663	0.3298	0.0045366	0.000223653	0.999776	632	ZC3H11A	0.073898245
GPBP1L1	ENSG00000159592).GENE.M1.0001	1	45628255	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.324105	-0.550731	-0.0974798	0.00506272	7.90E-05	0.999921	696	GPBP1L1	0.476008925
INTS6	ENSG00000102786).GENE.M3.0001	13	51365751	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.201214	-0.343495	-0.0589338	0.00557476	0.000198128	0.999802	731	INTS6	0.078049144
KDM6A	ENSG00000147050).GENE.M3.001	23	44873551	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0902516	-0.154852	-0.0256508	0.00617766	0.000742675	1.29407	800	KDM6A	0.634725048
CDC73	ENSG00000134371).GENE.M3.01	1	193122200	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.111606	-0.19194	-0.0312722	0.00647047	0.000629633	0.99937	828	CDC73	0.032754609
IGF2R	ENSG00000197081).GENE.M3.01	6	159969246	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0396693	-0.0687311	-0.0106075	0.00746526	0.00480855	0.995168	916	IGF2R	0.004051946
USO1	ENSG00000138768).GENE.M1.0001	4	75724819	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.291135	-0.505228	-0.0770418	0.00769286	8.75E-05	0.999912	939	USO1	0.060531815
RNMT	ENSG00000101654).GENE.M3.singleton	18	13731517	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.305703	-0.534511	-0.0768951	0.00882795	7.66E-05	0.999923	1050	RNMT	0.14063867
SETDB1	ENSG00000143379).GENE.M3.0001	1	150927714	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.120968	0.0302529	0.211683	0.00895936	0.000493496	0.999506	1062	SETDB1	0.36220371
ZNF574	ENSG00000105732).GENE.M3.01	19	42068711	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0950448	-0.166778	-0.0233118	0.00940657	0.000820467	0.999179	1100	ZNF574	0.039403552
INSIG2	ENSG00000125629).GENE.M1.0001	2	118096556	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.483215	-0.848337	-0.118093	0.0094898	3.04E-05	0.99997	1109	INSIG2	0.166446478
SCAP	ENSG00000114650).GENE.M3.01	3	47413853	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0556867	-0.0977659	-0.0136075	0.00949286	0.00227786	0.997717	1111	SCAP	0.037891147
RFX7	ENSG00000181827).GENE.M3.singleton	15	56093344	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.212315	-0.372884	-0.0517456	0.00955338	0.000155585	0.999844	1117	RFX7	0.488914216
CCDC93	ENSG00000125633).GENE.M3.001	2	117920342	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0782926	0.0186155	0.13797	0.0101303	0.00114015	0.998859	1176	CCDC93	0.11746899
GYG2	ENSG00000056998).GENE.M1.001	23	2830188	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.166662	-0.294431	-0.038892	0.0105713	0.000189619	1.29474	1220	GYG2	0.441129559
GTF2F2	ENSG00000188342).GENE.M1.001	13	45120655	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.28869	0.0651197	0.51226	0.0113788	8.02E-05	0.99992	1281	GTF2F2	0.351611503
PBRM1	ENSG00000163939).GENE.M1.singleton	3	52548062	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.353689	-0.630761	-0.0766161	0.0123517	5.23E-05	0.999948	1378	PBRM1	0.732774289
RABIF	ENSG00000183155).GENE.M3.001	1	202880977	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.125783	0.0272327	0.224334	0.0123646	0.000418134	0.999582	1379	RABIF	0.001508681
BAZ2A	ENSG00000076108).GENE.M1.0001	12	56598617	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.349482	-0.623358	-0.0756063	0.0123832	5.35E-05	0.999947	1381	BAZ2A	0.684744373
SNAPC4	ENSG00000165684).GENE.M1.singleton	9	136376355	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.289517	-0.516697	-0.0623373	0.0124977	7.78E-05	0.999922	1400	SNAPC4	0.00230554
CHP1	ENSG00000187446).GENE.M3.001	15	41231382	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.247882	-0.443768	-0.0519964	0.0131301	0.000104534	0.999895	1460	CHP1	0.88778424
DHDH	ENSG00000104808).GENE.M3.singleton	19	48933721	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.358163	0.0742001	0.642126	0.013432	5.23E-05	0.999948	1483	DHDH	0.616945316
SLC35F5	ENSG00000115084).GENE.M3.01	2	113717774	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0793105	0.0163676	0.142253	0.0135253	0.00102467	0.998974	1496	SLC35F5	0.122117026
LRRC8A	ENSG00000136802).GENE.M3.0001	9	128907164	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.134141	0.0275766	0.240706	0.013619	0.000353713	0.999646	1503	LRRC8A	0.440644629
USP39	ENSG00000168883).GENE.M3.0001	2	85612325	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.116997	0.0237939	0.210201	0.0138812	0.000466755	0.999533	1531	USP39	0.218776077
EXOC7	ENSG00000182473).GENE.M1.singleton	17	76083647	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.445689	-0.802156	-0.0892216	0.0142645	3.16E-05	0.999968	1576	EXOC7	0.66561091
ONECUT3	ENSG00000205922).GENE.M1.001	19	1753662	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.253262	-0.458891	-0.0476331	0.0157793	9.97E-05	0.9999	1722	ONECUT3	0.0090033
TMED2	ENSG00000086598).GENE.M3.0001	12	123584636	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.322958	0.060738	0.585179	0.0157807	5.83E-05	0.999942	1723	TMED2	0.120721248
PPIAL4A	ENSG00000263353).GENE.M1.001	1	120889820	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.27151	-0.493093	-0.049927	0.0163243	6.56E-05	1.25921	1777	PPIAL4A	0.150061746
ZNF281	ENSG00000162702).GENE.M3.001	1	200407017	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.100929	0.017921	0.183938	0.0171671	0.000589521	0.99941	1838	ZNF281	0.017561773
PGM1	ENSG00000079739).GENE.M1.singleton	1	63593488	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.443944	0.0785228	0.809365	0.0172598	3.04E-05	0.99997	1852	PGM1	0.705575254
BACH1	ENSG00000156273).GENE.M1.singleton	21	29321280	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.400369	0.068842	0.731895	0.0179352	3.65E-05	0.999964	1911	BACH1	0.365523709
ATP6V1G2	ENSG00000213760).GENE.M1.0001	6	31545407	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.442039	-0.813321	-0.0707573	0.0196227	2.92E-05	0.999971	2061	ATP6V1G2	0.239378068
ZMAT5	ENSG00000100319).GENE.M3.001	22	29731224	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.107615	0.0172145	0.198015	0.0196381	0.000491065	0.999509	2063	ZMAT5	0.383084685
SMARCA5	ENSG00000153147).GENE.M3.singleton	4	143513924	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.243226	-0.447619	-0.0388336	0.0196824	9.60E-05	0.999904	2069	SMARCA5	0.335771693
TFE3	ENSG00000068323).GENE.M3.001	23	49030157	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.180007	-0.331331	-0.028683	0.0197286	0.000131275	1.33325	2070	TFE3	0.416628032
NXF5	ENSG00000126952).GENE.M3.singleton	23	101832266	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.440547	-0.81118	-0.0699143	0.019823	2.43E-05	1.19998	2080	NXF5	0.40008637
PSMD12	ENSG00000197170).GENE.M3.singleton	17	67340842	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.302539	0.0480083	0.557069	0.019825	6.20E-05	0.999938	2081	PSMD12	0.0341006
COX5A	ENSG00000178741).GENE.M3.01	15	74920319	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0790378	-0.145824	-0.0122514	0.0203678	0.000900691	0.999098	2116	COX5A	0.812978115
COPS2	ENSG00000166200).GENE.M3.singleton	15	49127949	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.329999	-0.610276	-0.0497225	0.0210174	5.11E-05	0.999949	2173	COPS2	0.070294466
SNAI1	ENSG00000124216).GENE.M3.01	20	49983059	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.122033	0.0182562	0.22581	0.0211802	0.000373161	0.999627	2189	SNAI1	0.505938159
PGAP3	ENSG00000161395).GENE.M3.singleton	17	39671968	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.307934	0.0455552	0.570313	0.0214335	5.83E-05	0.999942	2209	PGAP3	0.586745398
UBE2I	ENSG00000103275).GENE.M3.0001	16	1314030	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.530323	-0.98477	-0.0758757	0.0221839	1.94E-05	0.999981	2268	UBE2I	0.177872232
EWSR1	ENSG00000182944).GENE.M1.001	22	29268336	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.178942	0.0254452	0.332438	0.0223206	0.000170171	0.99983	2276	EWSR1	0.141431141
STAM	ENSG00000136738).GENE.M3.01	10	17644339	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0772174	-0.144164	-0.0102704	0.0237812	0.000897044	0.999102	2404	STAM	0.268201249
CHAF1B	ENSG00000159259).GENE.M3.singleton	21	36386136	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.287049	0.0352116	0.538886	0.0254828	6.32E-05	0.999937	2540	CHAF1B	0.175476082
ALG8	ENSG00000159063).GENE.M3.001	11	78100963	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0753254	0.00910335	0.141548	0.0257877	0.000917708	0.999081	2561	ALG8	0.147898237
LRPPRC	ENSG00000138095).GENE.M1.0001	2	43888599	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.130754	0.0150285	0.24648	0.026795	0.000302661	0.999697	2647	LRPPRC	0.191904275
DCPS	ENSG00000110063).GENE.M1.singleton	11	126304080	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.483726	-0.912187	-0.055265	0.0269135	2.19E-05	0.999978	2660	DCPS	0.102901024
EXOC4	ENSG00000131558).GENE.M3.01	7	133253101	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0512524	0.0055157	0.0969891	0.0280684	0.00192658	0.99807	2752	EXOC4	0.000948455
CCDC43	ENSG00000180329).GENE.M3.001	17	44678855	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.107334	-0.203322	-0.0113469	0.0284044	0.000436367	0.999563	2781	CCDC43	0.555424378
ARPC4	ENSG00000241553).GENE.M1.singleton	3	9793121	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.899418	-1.71193	-0.0869084	0.0300366	6.08E-06	0.999994	2905	ARPC4	0.445971095
TMEM165	ENSG00000134851).GENE.M1.0001	4	55396189	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.436611	0.0402142	0.833008	0.0308656	2.55E-05	0.999974	2973	TMEM165	0.083248674
CRTC1	ENSG00000105662).GENE.M1.01	19	18683702	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.134943	-0.257492	-0.0123939	0.0309136	0.000280782	0.999719	2979	CRTC1	0.013013944
GREB1L	ENSG00000141449).GENE.M3.01	18	21383518	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0556674	0.00506761	0.106267	0.0310637	0.001568	0.999982	3001	GREB1L	0.113622394
MROH2A	ENSG00000185038).GENE.M1.001	2	233779358	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0814301	0.00727408	0.155586	0.03138	0.000737813	0.999262	3018	MROH2A	0.573745966
STX4	ENSG00000103496).GENE.M1.singleton	16	31033520	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.572619	-1.09748	-0.047757	0.0324924	1.46E-05	0.999985	3098	STX4	0.261533304
SMARCA1	ENSG00000102038).GENE.M3.01	23	129447161	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0527452	-0.101183	-0.00430706	0.032823	0.0014659	1.16793	3122	SMARCA1	0.385824871
SREBF2	ENSG00000198911).GENE.M1.0001	22	41833270	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.199812	-0.384205	-0.0154192	0.033682	0.000117904	0.999882	3188	SREBF2	0.081586805
CLEC3B	ENSG00000163815).GENE.M1.0001	3	45026362	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.342383	0.0260999	0.658666	0.0338628	4.01E-05	0.99996	3205	CLEC3B	0.641430221
CYC1	ENSG00000179091).GENE.M3.0001	8	144095099	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.13172	0.00939796	0.254043	0.0348113	0.000268627	0.999731	3277	CYC1	0.891127036
RPS6	ENSG00000137154).GENE.M1.001	9	19376292	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.29128	0.0203709	0.56219	0.0350879	5.47E-05	0.999945	3297	RPS6	0.069909138
GMEB1	ENSG00000162419).GENE.M3.0001	1	28683612	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.232427	-0.449274	-0.0155796	0.0356603	8.63E-05	0.999914	3343	GMEB1	0.723668793
SMARCE1	ENSG00000073584).GENE.M1.01	17	40628784	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.296471	-0.573837	-0.0191058	0.0361735	5.23E-05	0.999948	3382	SMARCE1	0.310559256
SUSD5	ENSG00000173705).GENE.M3.0001	3	33152741	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.143536	0.00920582	0.277866	0.0362348	0.000222438	0.999778	3385	SUSD5	0.199203153
GDI2	ENSG00000057608).GENE.M1.0001	10	5766005	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.21151	-0.409757	-0.0132625	0.0365206	0.000102103	0.999898	3400	GDI2	0.697132741
RALGAPA2	ENSG00000188559).GENE.M1.singleton	20	20396729	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.207082	0.00994112	0.404224	0.0395136	0.000103318	0.999897	3601	RALGAPA2	0.469941216
KDM8	ENSG00000155666).GENE.M3.0001	16	27204092	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.130341	0.00575081	0.254931	0.0403223	0.000258903	0.999741	3667	KDM8	0.308410187
NFYC	ENSG00000066136).GENE.M3.001	1	40738843	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.11844	-0.231882	-0.00499867	0.0407242	0.000317247	0.999683	3691	NFYC	0.513944935
TGIF1	ENSG00000177426).GENE.M1.1	18	3447739	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0375984	-0.0736607	-0.00153611	0.0410078	0.00308739	1.00164	3715	TGIF1	0.06341204
TMEM214	ENSG00000119777).GENE.M3.01	2	27033015	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0649762	0.00240114	0.127551	0.0418336	0.00103683	0.998962	3777	TMEM214	0.067432982
TGIF2	ENSG00000118707).GENE.M3.001	20	36578774	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.161429	-0.317298	-0.00556048	0.0423683	0.000165309	0.999835	3813	TGIF2	0.200294805
TAF1	ENSG00000147133).GENE.M3.0001	23	71366314	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0825186	-0.162474	-0.00256319	0.0430942	0.000440014	1.42516	3861	TAF1	0.482649051
TAF2	ENSG00000064313).GENE.M1.001	8	119731923	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.154156	-0.304118	-0.00419413	0.0439277	0.00017868	0.999821	3923	TAF2	0.105020693
USP9X	ENSG00000124486).GENE.M1.001	23	41123628	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.173376	0.00405706	0.342695	0.0447575	9.36E-05	1.49346	3981	USP9X	0.659393402
